Urban access (number of people);Entity;Year
3915913;Zimbabwe;2000
3977857;Zimbabwe;2001
4036928;Zimbabwe;2002
4034455;Zimbabwe;2003
4025928;Zimbabwe;2004
4023742;Zimbabwe;2005
4028646;Zimbabwe;2006
4040518;Zimbabwe;2007
4059643;Zimbabwe;2008
4086210;Zimbabwe;2009
4119836;Zimbabwe;2010
4161325;Zimbabwe;2011
4209905;Zimbabwe;2012
4262445;Zimbabwe;2013
4318507;Zimbabwe;2014
4375418;Zimbabwe;2015
4432068;Zimbabwe;2016
4489561;Zimbabwe;2017
4549936;Zimbabwe;2018
4615771;Zimbabwe;2019
4689537;Zimbabwe;2020
